n_steps,n_agents,control_strategy,solution_time_MEAN,solution_time_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
5,10,micro,0.202307312,0.015842186,259.4418832,9.235614284,0.832936149,0.113510762
5,10,mesocoup,0.201678618,0.017837389,29.54633583,11.68000644,1.133200819,0.203863505
5,100,micro,0.477107517,0.021957894,2587.808912,33.13168767,0.822775279,0.041903639
5,100,mesocoup,0.230485233,0.020341157,34.7019173,17.45368081,1.047709233,0.225350403
5,1000,micro,9.582951299,0.312260851,25947.59819,116.2033836,0.831355976,0.014396632
5,1000,mesocoup,7.076694036,1.438727492,31.62629916,17.00542134,0.91448054,0.188997635
10,10,micro,0.429196707,0.018761009,217.7740926,0.001243185,0.006677783,0.000864253
10,10,mesocoup,0.39815642,0.021994216,21.7773258,9.90E-05,0.856840649,0.231293486
10,100,micro,0.904737067,0.022908941,2177.740287,0.003799626,0.006786814,0.000363553
10,100,mesocoup,0.424929523,0.024192561,21.77730673,2.44E-05,0.746040985,0.353382834
10,1000,micro,21.46356931,1.069091149,21777.40682,0.013013778,0.006787733,0.000121308
10,1000,mesocoup,8.262145448,1.199399397,21.77730286,7.21E-06,0.416081939,0.301723611
15,10,micro,0.724664664,0.044155829,217.7708766,6.96E-08,7.03E-05,8.30E-06
15,10,mesocoup,0.667006302,0.045641709,21.77708766,4.48E-09,0.96748094,0.185678727
15,100,micro,1.482543071,0.043426694,2177.708766,2.06E-07,6.94E-05,2.22E-06
15,100,mesocoup,0.673451845,0.029054015,21.77708766,1.03E-09,0.635364658,0.309019876
15,1000,micro,31.67892447,1.211054848,21777.08766,7.84E-07,7.03E-05,7.60E-07
15,1000,mesocoup,8.140027531,1.331432183,21.77708766,5.70E-10,0.394771632,0.264238325
20,10,micro,0.800147359,0.019522278,217.7708764,3.21E-11,1.60E-05,6.75E-08
20,10,mesocoup,0.801974154,0.042386716,21.77708764,3.79E-12,0.811927938,0.234889391
20,100,micro,1.801742339,0.028470149,2177.708764,1.09E-10,1.60E-05,2.26E-08
20,100,mesocoup,0.811461782,0.032204079,21.77708764,9.18E-13,0.698671671,0.30205655
20,1000,micro,39.46180615,0.545384937,21777.08764,3.59E-10,1.60E-05,7.63E-09
20,1000,mesocoup,8.48754437,1.296656617,21.77708764,3.71E-13,0.444467748,0.294929889
25,10,micro,1.081876945,0.030801295,217.7708764,2.44E-13,1.56E-05,5.66E-10
25,10,mesocoup,1.007694435,0.058345251,21.77708764,2.64E-14,0.930951969,0.249161207
25,100,micro,2.309586708,0.030066347,2177.708764,1.25E-12,1.56E-05,2.51E-10
25,100,mesocoup,1.015131362,0.038176469,21.77708764,9.79E-15,0.800507783,0.3571675
25,1000,micro,48.27763609,0.430433667,21777.08764,1.16E-11,1.56E-05,6.16E-11
25,1000,mesocoup,9.065045238,0.967474006,21.77708764,5.84E-15,0.321222728,0.178163651
